humidity,light,temperature,soil,label
66,182.5,28.5,50,
68,180.833328,28.5,50,
68,178.333328,28.9,50,
67,175,28.9,50.04136289,
67,150.833328,28.9,50,
65,264.166656,28.9,50.3900634,
65,45,28.9,50,
64,44.166664,28.9,49.77880291,
64,43.333332,28.9,49.58103521,
64,44.166664,28.9,49.39285613,
66,41.666664,28.5,49.39285613,
66,38.333332,28.5,49.51117047,
66,39.166664,28.5,49.51117047,
66,35,28.5,49.59396936,
67,36.666664,28.5,49.70904968,
67,31.666666,28.5,49.70904968,
67,82.5,28.5,49.98015822,
67,75.833328,28.5,49.50059557,
67,142.5,28.5,49.50059557,
67,119.166664,28.5,49.58848797,
67,95,28.5,49.39080431,
67,71.666664,28.5,30,
67,50.833332,28.5,49.67981981,
68,35,28.5,49.71086027,
68,29.166666,28.5,90,
68,19.166666,28.5,49.71086027,
68,13.333333,28,49.32682402,
68,9.166666,28,49.32682402,
69,8.333333,28,49.61741674,
69,7.5,28,49.71778806,
70,7.5,28,49.42473848,
70,14.166666,28,49.37051438,
71,13.333333,28,49.53072616,
71,13.333333,28,49.38557781,
72,13.333333,28,49.38557781,
73,13.333333,27.6,70,
73,6.666667,27.6,49.3954979,
73,9.166666,27.6,49.3954979,
73,10,27.6,49.36340505,
73,10,27.6,49.36340505,
74,10,27.6,49.51315261,
73,10,27.6,49.51315261,
73,10,27.6,49.17028205,
73,10,27.6,50,
74,0,27.6,50.08460109,
75,0,27.6,50.20475719,
75,0,27.6,50.01564217,
75,0.833333,27.6,50.10205046,
75,0,27.6,50.23019788,
75,0,27.6,50.24209698,
75,0,27.6,49.98402626,
74,0,27.6,49.98402626,
74,0,27.6,50,
74,0,27.6,50.28149211,
74,0,27.6,50.10575231,
74,0,27.200001,50.27269204,
74,0,27.1,50.34079633,
74,0,27.1,50.15532621,
74,0,27.1,50.27921687,
74,0,27.1,50.03428651,
74,0,27.1,49.90447752,
74,0,27.1,50.05426143,
74,0,27.1,49.81913976,
74,0,27.1,49.59705322,
74,0,27.1,49.75227877,
75,0,27.1,49.99916487,
75,0,27.1,50.08619059,
75,0,27.1,49.81608362,
75,0,27.1,49.72649125,
75,0,27.1,49.79405892,
75,0,26.700001,49.58914142,
75,0,26.799999,49.80342715,
75,0,27.1,49.92019954,
75,0,27.1,49.78724706,
75,0,26.799999,49.74210407,
75,0,26.700001,49.81554359,
75,0,26.700001,50,
75,0,26.700001,49.53071792,
75,0,26.700001,50.12493131,
75,0,26.700001,50,
75,0,26.700001,50.20435309,
76,0,26.700001,49.83852295,
76,0.833333,26.700001,49.80582535,
76,0,26.200001,49.9140576,
76,0,26.200001,50.05726369,
76,0,26.200001,50.05726369,
76,0,26.200001,50.12529189,
76,0,26.200001,50.08744089,
76,0,26.200001,49.86183727,
76,0,26.200001,49.87274305,
76,0,26.200001,49.8753594,
76,0,26.200001,49.73047552,
76,0,26.200001,49.77456957,
76,0,26.200001,49.81465508,
76,0,26.200001,49.81465508,
76,0,26.200001,49.9959867,
76,0,26.200001,50.06748717,
76,0,26.200001,50.06748717,
76,0,26.200001,49.88781071,
76,0,26.200001,49.93558137,
76,0,26.200001,50.10671058,
77,0,26.200001,50.10671058,
77,0,26.200001,50.05805769,
77,0,26.200001,50.05805769,
77,0,25.799999,50.18661936,
77,0,25.799999,50.5477155,
77,0,25.799999,50.5477155,
77,0,25.799999,50.39758431,
77,0,25.799999,50.39758431,
77,0,25.799999,50.46333675,
77,0,25.799999,50.48115387,
77,0,25.799999,50.14376309,
77,331.666656,25.799999,50.14376309,
77,107.499992,25.799999,50.10517382,
77,119.166664,25.799999,50.17944645,
77,136.666656,25.4,50.34994843,
76,138.333328,24.1,50.34994843,
76,136.666656,24.1,50.28350912,
76,130.833328,24.1,50.10007851,
74,117.499992,24.5,50.09427778,
74,117.499992,24.5,50.09427778,
73,114.999992,24.799999,49.88156256,
73,162.5,24.799999,49.7224235,
73,164.166656,24.799999,49.7224235,
73,156.666656,24.799999,49.82528483,
73,163.333328,24.799999,49.86537156,
73,155,25.299999,49.86537156,
72,222.499985,25.299999,49.78721065,
