date,penalty,soil,threadhold
2022-01-24,-1,59.8,65
2022-01-24,-1,62.5,65
2022-01-24,0,67.8,65
2022-01-24,0,68.5,65
2022-01-24,0,67.9,65
2022-01-24,0,67.7,65
2022-01-24,0,71.0,65
2022-01-24,-1,64.3,65
2022-01-24,-1,55.4,65
2022-01-24,-2,53.0,65
2022-01-24,-1,56.0,65
2022-01-24,-2,54.3,65
2022-01-24,-1,59.4,65
2022-01-24,-1,62.6,65
2022-01-24,-1,59.6,65
2022-01-24,-1,62.9,65
2022-01-24,-1,62.3,65
2022-01-24,-1,64.2,65
2022-01-24,0,65.0,65
2022-01-24,-1,62.5,65
2022-01-24,-1,63.2,65
2022-01-24,0,67.9,65
2022-01-24,0,74.6,65
2022-01-24,0,72.3,65
2022-01-24,0,71.2,65
2022-01-24,0,69.0,65
2022-01-24,0,65.5,65
2022-01-24,0,69.7,65
2022-01-24,-1,63.2,65
2022-01-24,-3,49.8,65
2022-01-24,-2,50.4,65
2022-01-24,-2,51.8,65
2022-01-24,-2,52.8,65
2022-01-24,-3,49.0,65
2022-01-24,-2,51.1,65
2022-01-24,-2,54.4,65
2022-01-24,-1,57.5,65
2022-01-24,-1,58.9,65
2022-01-24,-1,63.1,65
2022-01-24,-1,64.2,65
2022-01-24,0,65.9,65
2022-01-24,0,68.4,65
2022-01-24,0,69.2,65
2022-01-24,0,70.2,65
2022-01-24,0,65.4,65
2022-01-24,-1,61.8,65
2022-01-24,-1,56.3,65
2022-01-24,-3,46.2,65
2022-01-24,-3,46.0,65
2022-01-24,-3,46.5,65
2022-01-24,-3,44.4,65
2022-01-24,-3,44.4,65
2022-01-24,-3,43.2,65
2022-01-24,-3,43.3,65
2022-01-24,-2,52.5,65
2022-01-24,-1,56.1,65
2022-01-24,-1,58.1,65
2022-01-24,-1,58.7,65
2022-01-24,-1,59.9,65
2022-01-24,-1,62.5,65
2022-01-24,-1,62.6,65
2022-01-24,-1,61.9,65
2022-01-24,0,66.1,65
2022-01-24,0,70.9,65
2022-01-24,0,68.3,65
